     1   -0.6864790588E-05   -0.3451560000E-05   -0.6856698928E-05
     2   -0.6494071855E-05   -0.3251650000E-05   -0.6493769636E-05
     3   -0.6398714922E-05   -0.3199860000E-05   -0.6398922581E-05
     4   -0.6404031939E-05   -0.3200520000E-05   -0.6404397343E-05
     5   -0.6460948554E-05   -0.3227910000E-05   -0.6461496114E-05
     6   -0.6546664868E-05   -0.3270160000E-05   -0.6547432319E-05
     7   -0.6643966473E-05   -0.3318430000E-05   -0.6645016000E-05
     8   -0.6737632122E-05   -0.3365030000E-05   -0.6739049470E-05
     9   -0.6816517452E-05   -0.3404420000E-05   -0.6818403823E-05
    10   -0.6876341135E-05   -0.3434360000E-05   -0.6878855416E-05
    11   -0.2417383256E-02   -0.1368160000E-02   -0.2313809624E-02
    12   -0.1852889832E-02   -0.9556810000E-03   -0.1849986792E-02
    13   -0.1687063533E-02   -0.8552930000E-03   -0.1689533276E-02
    14   -0.1471056042E-02   -0.7380810000E-03   -0.1473386316E-02
    15   -0.1179397134E-02   -0.5875560000E-03   -0.1181227797E-02
    16   -0.8358859724E-03   -0.4142730000E-03   -0.8372504067E-03
    17   -0.4918206241E-03   -0.2424820000E-03   -0.4927919089E-03
    18   -0.2138743114E-03   -0.1047000000E-03   -0.2144761799E-03
    19   -0.5668063291E-04   -0.2725890000E-04   -0.5699576287E-04
    20    0.4161990941E-05    0.6902990000E-05    0.2606720538E-05
    21   -0.3640130087E-02   -0.2149900000E-02   -0.3891734284E-02
    22   -0.3195269773E-02   -0.1675540000E-02   -0.3178757262E-02
    23   -0.3064114352E-02   -0.1551580000E-02   -0.3070069130E-02
    24   -0.2798821568E-02   -0.1393840000E-02   -0.2802435151E-02
    25   -0.2366066650E-02   -0.1168170000E-02   -0.2367432181E-02
    26   -0.1782523427E-02   -0.8750660000E-03   -0.1786355170E-02
    27   -0.1117979920E-02   -0.5457590000E-03   -0.1119160758E-02
    28   -0.5185183390E-03   -0.2507160000E-03   -0.5197204966E-03
    29   -0.1504584642E-03   -0.7070290000E-04   -0.1512087594E-03
    30    0.5255243609E-04    0.3994900000E-04    0.5021831515E-04
    31    0.3654391390E-02    0.2953560000E-02    0.2163433241E-02
    32   -0.4865520406E-02   -0.2470640000E-02   -0.4671204396E-02
    33   -0.3977300667E-02   -0.1872330000E-02   -0.4008004899E-02
    34   -0.3841494317E-02   -0.1837710000E-02   -0.3841504651E-02
    35   -0.3323123322E-02   -0.1596660000E-02   -0.3320049038E-02
    36   -0.2628921899E-02   -0.1263360000E-02   -0.2630899039E-02
    37   -0.1755425477E-02   -0.8393750000E-03   -0.1755320242E-02
    38   -0.8590953921E-03   -0.4052220000E-03   -0.8601307443E-03
