Body data file part 2
n1,n2,n3 = unit normals
 n1            n2             n3
 0.124081E+00 -0.970856E+00   0.205043E+00
 0.113193E+00 -0.947822E+00   0.298027E+00
 0.989389E-01 -0.918221E+00   0.383512E+00
 0.820126E-01 -0.883901E+00   0.460428E+00
 0.630972E-01 -0.846636E+00   0.528419E+00
 0.428030E-01 -0.807955E+00   0.587687E+00
 0.216374E-01 -0.769070E+00   0.638798E+00
 0.000000E+00 -0.730868E+00   0.682519E+00
 0.123872E+00 -0.992275E+00   0.680429E-02
 0.121371E+00 -0.985722E+00   0.116712E+00
 0.114609E+00 -0.968145E+00   0.222622E+00
 0.104089E+00 -0.941201E+00   0.321412E+00
 0.904984E-01 -0.907146E+00   0.410970E+00
 0.745855E-01 -0.868375E+00   0.490268E+00
 0.570506E-01 -0.827067E+00   0.559201E+00
 0.384858E-01 -0.784989E+00   0.618313E+00
 0.193548E-01 -0.743445E+00   0.668517E+00
 0.000000E+00 -0.703313E+00   0.710881E+00
 0.114141E+00 -0.993448E+00   0.581519E-02
 0.111762E+00 -0.985958E+00   0.124080E+00
 0.105267E+00 -0.965690E+00   0.237406E+00
 0.952191E-01 -0.934862E+00   0.342004E+00
 0.823750E-01 -0.896411E+00   0.435502E+00
 0.675231E-01 -0.853336E+00   0.516970E+00
 0.513677E-01 -0.808228E+00   0.586624E+00
 0.344729E-01 -0.763062E+00   0.645405E+00
 0.172547E-01 -0.719192E+00   0.694597E+00
 0.000000E+00 -0.677448E+00   0.735571E+00
 0.104286E+00 -0.994476E+00   0.119019E-01
 0.101838E+00 -0.985280E+00   0.137303E+00
 0.955224E-01 -0.961799E+00   0.256551E+00
 0.859587E-01 -0.926906E+00   0.365318E+00
 0.739418E-01 -0.884240E+00   0.461142E+00
 0.602636E-01 -0.837341E+00   0.543349E+00
 0.455960E-01 -0.789102E+00   0.612568E+00
 0.304482E-01 -0.741594E+00   0.670157E+00
 0.151736E-01 -0.696133E+00   0.717753E+00
 0.000000E+00 -0.653443E+00   0.756976E+00
 0.943592E-01 -0.995473E+00   0.113811E-01
 0.920642E-01 -0.985219E+00   0.144456E+00
 0.861172E-01 -0.958933E+00   0.270241E+00
 0.771762E-01 -0.920213E+00   0.383734E+00
 0.660647E-01 -0.873490E+00   0.482338E+00
