Free surface data file
xf,yf,zf = collocation points
xs,ys,zs = source points
phif = potential on the free surface
sigma = source strength (this is the solution I got)
Number of free surface nodes =  2486
 xf            yf             zf             xs             ys             zs             phif           sigma
-0.108365E+02  0.129876E+01   0.138472E-01  -0.108365E+02   0.129876E+01   0.347901E+00  -0.122447E+00   0.198545E-03
-0.106099E+02  0.129876E+01   0.157132E-01  -0.106099E+02   0.129876E+01   0.349767E+00  -0.131816E+00   0.254351E-03
-0.103954E+02  0.129876E+01   0.178479E-01  -0.103954E+02   0.129876E+01   0.351902E+00  -0.142064E+00   0.258584E-03
-0.101923E+02  0.129876E+01   0.202727E-01  -0.101923E+02   0.129876E+01   0.354326E+00  -0.153278E+00   0.394324E-03
-0.100000E+02  0.131001E+01   0.228485E-01  -0.100000E+02   0.131001E+01   0.356902E+00  -0.165175E+00   0.409658E-03
-0.980769E+01  0.133927E+01   0.254970E-01  -0.980769E+01   0.133927E+01   0.359551E+00  -0.177949E+00   0.433564E-03
-0.960458E+01  0.138065E+01   0.282320E-01  -0.960458E+01   0.138065E+01   0.362286E+00  -0.192462E+00   0.104518E-03
-0.939006E+01  0.142283E+01   0.311327E-01  -0.939006E+01   0.142283E+01   0.365186E+00  -0.209221E+00   0.614500E-03
-0.916349E+01  0.146573E+01   0.341574E-01  -0.916349E+01   0.146573E+01   0.368211E+00  -0.228438E+00   0.131176E-02
-0.892419E+01  0.150924E+01   0.369481E-01  -0.892419E+01   0.150924E+01   0.371002E+00  -0.250178E+00   0.124069E-02
-0.867144E+01  0.155325E+01   0.387446E-01  -0.867144E+01   0.155325E+01   0.372798E+00  -0.274049E+00  -0.177554E-03
-0.840450E+01  0.159762E+01   0.386959E-01  -0.840450E+01   0.159762E+01   0.372750E+00  -0.298452E+00  -0.296634E-03
-0.812256E+01  0.164222E+01   0.364416E-01  -0.812256E+01   0.164222E+01   0.370495E+00  -0.320844E+00   0.244326E-02
-0.782478E+01  0.168687E+01   0.313263E-01  -0.782478E+01   0.168687E+01   0.365380E+00  -0.338226E+00   0.275406E-02
-0.751028E+01  0.173139E+01   0.218140E-01  -0.751028E+01   0.173139E+01   0.355868E+00  -0.346294E+00  -0.622856E-02
-0.717810E+01  0.177559E+01   0.971385E-02  -0.717810E+01   0.177559E+01   0.343768E+00  -0.340292E+00  -0.665770E-02
-0.682727E+01  0.181925E+01   0.215483E-02  -0.682727E+01   0.181925E+01   0.336209E+00  -0.322595E+00   0.841809E-02
-0.645673E+01  0.186212E+01  -0.117256E-02  -0.645673E+01   0.186212E+01   0.332881E+00  -0.302637E+00  -0.412894E-02
-0.606537E+01  0.190394E+01  -0.330138E-02  -0.606537E+01   0.190394E+01   0.330752E+00  -0.283365E+00  -0.753004E-02
-0.565202E+01  0.194443E+01  -0.126166E-02  -0.565202E+01   0.194443E+01   0.332792E+00  -0.266947E+00   0.791712E-02
-0.521546E+01  0.198328E+01  -0.231787E-02  -0.521546E+01   0.198328E+01   0.331736E+00  -0.252346E+00  -0.249189E-02
-0.475436E+01  0.202016E+01  -0.514051E-02  -0.475436E+01   0.202016E+01   0.328913E+00  -0.233121E+00  -0.222261E-02
-0.426737E+01  0.205470E+01  -0.519538E-02  -0.426737E+01   0.205470E+01   0.328858E+00  -0.213331E+00   0.186950E-02
-0.375302E+01  0.208651E+01  -0.674047E-02  -0.375302E+01   0.208651E+01   0.327313E+00  -0.192844E+00  -0.242171E-02
-0.320977E+01  0.211514E+01  -0.766127E-02  -0.320977E+01   0.211514E+01   0.326392E+00  -0.170339E+00  -0.835188E-03
-0.263601E+01  0.214010E+01  -0.818409E-02  -0.263601E+01   0.214010E+01   0.325870E+00  -0.147370E+00  -0.175910E-02
-0.203001E+01  0.216083E+01  -0.903461E-02  -0.203001E+01   0.216083E+01   0.325019E+00  -0.123167E+00  -0.147718E-02
-0.138997E+01  0.217668E+01  -0.982435E-02  -0.138997E+01   0.217668E+01   0.324229E+00  -0.975502E-01  -0.107378E-02
-0.713972E+00  0.218689E+01  -0.105009E-01  -0.713972E+00   0.218689E+01   0.323553E+00  -0.706195E-01  -0.874730E-03
 0.000000E+00  0.219053E+01  -0.111192E-01   0.000000E+00   0.219053E+01   0.322935E+00  -0.425524E-01  -0.582153E-03
 0.713972E+00  0.218689E+01  -0.118387E-01   0.713972E+00   0.218689E+01   0.322215E+00  -0.145699E-01  -0.472998E-03
 0.138997E+01  0.217668E+01  -0.124861E-01   0.138997E+01   0.217668E+01   0.321568E+00   0.119676E-01  -0.345835E-03
 0.203001E+01  0.216083E+01  -0.131615E-01   0.203001E+01   0.216083E+01   0.320892E+00   0.372980E-01  -0.338060E-03
 0.263601E+01  0.214010E+01  -0.138817E-01   0.263601E+01   0.214010E+01   0.320172E+00   0.617852E-01  -0.289467E-03
 0.320977E+01  0.211514E+01  -0.145362E-01   0.320977E+01   0.211514E+01   0.319518E+00   0.855236E-01  -0.236100E-03
 0.375302E+01  0.208651E+01  -0.151448E-01   0.375302E+01   0.208651E+01   0.318909E+00   0.108438E+00  -0.247382E-03
 0.426737E+01  0.205470E+01  -0.158147E-01   0.426737E+01   0.205470E+01   0.318239E+00   0.130623E+00  -0.234561E-03
 0.475436E+01  0.202016E+01  -0.163931E-01   0.475436E+01   0.202016E+01   0.317661E+00   0.152103E+00  -0.907074E-04
 0.521546E+01  0.198328E+01  -0.167503E-01   0.521546E+01   0.198328E+01   0.317303E+00   0.172676E+00  -0.160269E-03
 0.565202E+01  0.194443E+01  -0.170397E-01   0.565202E+01   0.194443E+01   0.317014E+00   0.192326E+00  -0.153972E-03
 0.606537E+01  0.190394E+01  -0.172199E-01   0.606537E+01   0.190394E+01   0.316834E+00   0.211089E+00  -0.377603E-04
 0.645673E+01  0.186212E+01  -0.172859E-01   0.645673E+01   0.186212E+01   0.316768E+00   0.228899E+00  -0.121290E-04
 0.682727E+01  0.181925E+01  -0.172337E-01   0.682727E+01   0.181925E+01   0.316820E+00   0.245708E+00  -0.474829E-04
 0.717810E+01  0.177560E+01  -0.170111E-01   0.717810E+01   0.177560E+01   0.317043E+00   0.261467E+00  -0.315673E-04
 0.751028E+01  0.173139E+01  -0.165654E-01   0.751028E+01   0.173139E+01   0.317488E+00   0.276084E+00   0.841544E-04
 0.782478E+01  0.168687E+01  -0.158857E-01   0.782478E+01   0.168687E+01   0.318168E+00   0.289441E+00   0.947843E-04
 0.812256E+01  0.164222E+01  -0.149872E-01   0.812256E+01   0.164222E+01   0.319066E+00   0.301464E+00   0.166145E-03
 0.840450E+01  0.159762E+01  -0.137889E-01   0.840450E+01   0.159762E+01   0.320265E+00   0.312019E+00   0.187294E-03
 0.867144E+01  0.155325E+01  -0.122351E-01   0.867144E+01   0.155325E+01   0.321819E+00   0.320947E+00   0.265988E-03
 0.892419E+01  0.150924E+01  -0.102940E-01   0.892419E+01   0.150924E+01   0.323760E+00   0.328066E+00   0.285852E-03
 0.916349E+01  0.146573E+01  -0.787921E-02   0.916349E+01   0.146573E+01   0.326174E+00   0.333237E+00   0.425593E-03
 0.939006E+01  0.142283E+01  -0.501898E-02   0.939006E+01   0.142283E+01   0.329035E+00   0.336193E+00   0.448643E-03
 0.960458E+01  0.138065E+01  -0.155020E-02   0.960458E+01   0.138065E+01   0.332503E+00   0.336876E+00   0.406676E-03
 0.980769E+01  0.133927E+01   0.243464E-02   0.980769E+01   0.133927E+01   0.336488E+00   0.335004E+00   0.908680E-03
 0.100000E+02  0.131001E+01   0.680243E-02   0.100000E+02   0.131001E+01   0.340856E+00   0.328450E+00   0.427171E-03
 0.102564E+02  0.129876E+01   0.131062E-01   0.102564E+02   0.129876E+01   0.347160E+00   0.311112E+00   0.129732E-02
 0.105219E+02  0.129876E+01   0.195761E-01   0.105219E+02   0.129876E+01   0.353630E+00   0.285968E+00   0.124372E-02
 0.107969E+02  0.129876E+01   0.258289E-01   0.107969E+02   0.129876E+01   0.359883E+00   0.254523E+00   0.140163E-02
 0.110817E+02  0.129876E+01   0.307734E-01   0.110817E+02   0.129876E+01   0.364827E+00   0.217405E+00   0.127162E-02
 0.113766E+02  0.129876E+01   0.328485E-01   0.113766E+02   0.129876E+01   0.366902E+00   0.177022E+00   0.115028E-02
 0.116820E+02  0.129876E+01   0.302574E-01   0.116820E+02   0.129876E+01   0.364311E+00   0.138346E+00   0.880797E-03
 0.119982E+02  0.129876E+01   0.220352E-01   0.119982E+02   0.129876E+01   0.356089E+00   0.108830E+00  -0.124089E-02
 0.123257E+02  0.129876E+01   0.104034E-01   0.123257E+02   0.129876E+01   0.344457E+00   0.949441E-01  -0.262417E-02
 0.126648E+02  0.129876E+01   0.128351E-02   0.126648E+02   0.129876E+01   0.335337E+00   0.955788E-01  -0.130567E-02
 0.130161E+02  0.129876E+01  -0.623274E-03   0.130161E+02   0.129876E+01   0.333430E+00   0.100671E+00  -0.122418E-02
 0.133798E+02  0.129876E+01   0.315686E-02   0.133798E+02   0.129876E+01   0.337211E+00   0.990942E-01   0.490980E-03
 0.137564E+02  0.129876E+01   0.568314E-02   0.137564E+02   0.129876E+01   0.339737E+00   0.900197E-01   0.205550E-02
 0.141465E+02  0.129876E+01   0.407995E-02   0.141465E+02   0.129876E+01   0.338134E+00   0.820518E-01  -0.408869E-03
 0.145504E+02  0.129876E+01   0.265965E-02   0.145504E+02   0.129876E+01   0.336713E+00   0.778311E-01  -0.833211E-03
 0.149687E+02  0.129876E+01   0.289007E-02   0.149687E+02   0.129876E+01   0.336944E+00   0.733279E-01   0.559158E-03
 0.154018E+02  0.129876E+01   0.257814E-02   0.154018E+02   0.129876E+01   0.336632E+00   0.686940E-01  -0.147505E-03
 0.158504E+02  0.129876E+01   0.211290E-02   0.158504E+02   0.129876E+01   0.336167E+00   0.651136E-01   0.190096E-04
 0.163150E+02  0.129876E+01   0.188715E-02   0.163150E+02   0.129876E+01   0.335941E+00   0.616564E-01   0.282436E-03
 0.167960E+02  0.129876E+01   0.163709E-02   0.167960E+02   0.129876E+01   0.335691E+00   0.583324E-01  -0.866945E-04
 0.172942E+02  0.129876E+01   0.147838E-02   0.172942E+02   0.129876E+01   0.335532E+00   0.553597E-01  -0.257256E-05
 0.178101E+02  0.129876E+01   0.132946E-02   0.178101E+02   0.129876E+01   0.335383E+00   0.525879E-01   0.653147E-04
 0.183444E+02  0.129876E+01   0.114400E-02   0.183444E+02   0.129876E+01   0.335198E+00   0.499779E-01  -0.236760E-05
 0.188976E+02  0.129876E+01   0.919278E-03   0.188976E+02   0.129876E+01   0.334973E+00   0.476528E-01   0.128832E-04
 0.194706E+02  0.129876E+01   0.744995E-03   0.194706E+02   0.129876E+01   0.334799E+00   0.456284E-01   0.278031E-04
 0.200639E+02  0.129876E+01   0.632247E-03   0.200639E+02   0.129876E+01   0.334686E+00   0.437136E-01   0.427943E-04
 0.206783E+02  0.129876E+01   0.502480E-03   0.206783E+02   0.129876E+01   0.334556E+00   0.417902E-01   0.347652E-04
 0.213146E+02  0.129876E+01   0.374603E-03   0.213146E+02   0.129876E+01   0.334428E+00   0.399476E-01   0.295693E-04
 0.219736E+02  0.129876E+01   0.285891E-03   0.219736E+02   0.129876E+01   0.334340E+00   0.383199E-01   0.276789E-04
 0.226559E+02  0.129876E+01   0.179207E-03   0.226559E+02   0.129876E+01   0.334233E+00   0.369257E-01   0.401085E-04
 0.233626E+02  0.129876E+01   0.102322E-04   0.233626E+02   0.129876E+01   0.334064E+00   0.356325E-01   0.542150E-04
 0.240944E+02  0.129876E+01  -0.217828E-03   0.240944E+02   0.129876E+01   0.333836E+00   0.343092E-01   0.650807E-04
 0.248522E+02  0.129876E+01  -0.426904E-03   0.248522E+02   0.129876E+01   0.333627E+00   0.327776E-01   0.828223E-04
 0.256370E+02  0.129876E+01  -0.653448E-03   0.256370E+02   0.129876E+01   0.333400E+00   0.310202E-01   0.631631E-04
 0.264497E+02  0.129876E+01  -0.876221E-03   0.264497E+02   0.129876E+01   0.333177E+00   0.292150E-01   0.622946E-04
 0.272913E+02  0.129876E+01  -0.101212E-02   0.272913E+02   0.129876E+01   0.333042E+00   0.273387E-01   0.542572E-04
 0.281628E+02  0.129876E+01  -0.113134E-02   0.281628E+02   0.129876E+01   0.332922E+00   0.254728E-01   0.478910E-04
 0.290654E+02  0.129876E+01  -0.110353E-02   0.290654E+02   0.129876E+01   0.332950E+00   0.236440E-01   0.805580E-04
-0.200000E+02  0.160682E+01   0.104484E-02  -0.200000E+02   0.160682E+01   0.353183E+00  -0.319926E-01  -0.199088E-03
-0.192860E+02  0.160682E+01   0.104484E-02  -0.192860E+02   0.160682E+01   0.353183E+00  -0.319926E-01   0.713738E-04
-0.186100E+02  0.160682E+01   0.173114E-02  -0.186100E+02   0.160682E+01   0.353869E+00  -0.327727E-01   0.135218E-03
-0.179700E+02  0.160682E+01   0.242257E-02  -0.179700E+02   0.160682E+01   0.354560E+00  -0.349900E-01   0.901793E-04
-0.173640E+02  0.160682E+01   0.278887E-02  -0.173640E+02   0.160682E+01   0.354927E+00  -0.379427E-01   0.192346E-04
-0.167902E+02  0.160682E+01   0.295768E-02  -0.167902E+02   0.160682E+01   0.355095E+00  -0.409125E-01   0.546877E-05
-0.162470E+02  0.160682E+01   0.315317E-02  -0.162470E+02   0.160682E+01   0.355291E+00  -0.437748E-01   0.308656E-04
-0.157326E+02  0.160682E+01   0.345618E-02  -0.157326E+02   0.160682E+01   0.355594E+00  -0.467966E-01   0.466187E-04
-0.152456E+02  0.160682E+01   0.369447E-02  -0.152456E+02   0.160682E+01   0.355832E+00  -0.500152E-01  -0.252501E-04
-0.147845E+02  0.160682E+01   0.395635E-02  -0.147845E+02   0.160682E+01   0.356094E+00  -0.533250E-01   0.754616E-04
-0.143480E+02  0.160682E+01   0.443443E-02  -0.143480E+02   0.160682E+01   0.356572E+00  -0.569372E-01   0.707612E-04
-0.139346E+02  0.160682E+01   0.491690E-02  -0.139346E+02   0.160682E+01   0.357055E+00  -0.609770E-01   0.623585E-04
-0.135433E+02  0.160682E+01   0.537323E-02  -0.135433E+02   0.160682E+01   0.357511E+00  -0.653538E-01   0.660019E-04
-0.131727E+02  0.160682E+01   0.579978E-02  -0.131727E+02   0.160682E+01   0.357937E+00  -0.699532E-01   0.588685E-04
-0.128219E+02  0.160682E+01   0.625747E-02  -0.128219E+02   0.160682E+01   0.358395E+00  -0.747174E-01   0.617381E-04
-0.124897E+02  0.160682E+01   0.682075E-02  -0.124897E+02   0.160682E+01   0.358958E+00  -0.797044E-01   0.707237E-04
-0.121752E+02  0.160682E+01   0.752139E-02  -0.121752E+02   0.160682E+01   0.359659E+00  -0.850358E-01   0.149285E-03
-0.118774E+02  0.160682E+01   0.833829E-02  -0.118774E+02   0.160682E+01   0.360476E+00  -0.908082E-01   0.697527E-04
-0.115955E+02  0.160682E+01   0.918949E-02  -0.115955E+02   0.160682E+01   0.361327E+00  -0.970221E-01   0.155723E-03
-0.113286E+02  0.160682E+01   0.102267E-01  -0.113286E+02   0.160682E+01   0.362364E+00  -0.103688E+00   0.114567E-03
-0.110758E+02  0.160682E+01   0.113888E-01  -0.110758E+02   0.160682E+01   0.363526E+00  -0.110868E+00   0.187767E-03
-0.108365E+02  0.160682E+01   0.127128E-01  -0.108365E+02   0.160682E+01   0.364851E+00  -0.118607E+00   0.225765E-03
-0.106099E+02  0.160682E+01   0.142009E-01  -0.106099E+02   0.160682E+01   0.366339E+00  -0.126944E+00   0.254985E-03
-0.103954E+02  0.160682E+01   0.158503E-01  -0.103954E+02   0.160682E+01   0.367988E+00  -0.135903E+00   0.248263E-03
-0.101923E+02  0.160682E+01   0.176501E-01  -0.101923E+02   0.160682E+01   0.369788E+00  -0.145514E+00   0.326886E-03
-0.100000E+02  0.161775E+01   0.194848E-01  -0.100000E+02   0.161775E+01   0.371623E+00  -0.155450E+00   0.179804E-03
-0.980769E+01  0.164616E+01   0.213128E-01  -0.980769E+01   0.164616E+01   0.373450E+00  -0.165807E+00   0.498604E-03
-0.960458E+01  0.168635E+01   0.231808E-01  -0.960458E+01   0.168635E+01   0.375319E+00  -0.177290E+00   0.472651E-03
-0.939006E+01  0.172732E+01   0.251170E-01  -0.939006E+01   0.172732E+01   0.377255E+00  -0.190363E+00   0.528198E-03
-0.916349E+01  0.176898E+01   0.269548E-01  -0.916349E+01   0.176898E+01   0.379092E+00  -0.205119E+00   0.222639E-03
-0.892419E+01  0.181124E+01   0.284758E-01  -0.892419E+01   0.181124E+01   0.380614E+00  -0.221308E+00   0.458886E-03
-0.867144E+01  0.185398E+01   0.295245E-01  -0.867144E+01   0.185398E+01   0.381662E+00  -0.238514E+00   0.942391E-03
-0.840450E+01  0.189708E+01   0.297722E-01  -0.840450E+01   0.189708E+01   0.381910E+00  -0.256131E+00   0.836228E-03
-0.812256E+01  0.194039E+01   0.284741E-01  -0.812256E+01   0.194039E+01   0.380612E+00  -0.272982E+00  -0.726840E-03
-0.782478E+01  0.198376E+01   0.250929E-01  -0.782478E+01   0.198376E+01   0.377231E+00  -0.286660E+00  -0.807754E-03
-0.751028E+01  0.202700E+01   0.202224E-01  -0.751028E+01   0.202700E+01   0.372360E+00  -0.294655E+00   0.221446E-02
-0.717810E+01  0.206993E+01   0.141196E-01  -0.717810E+01   0.206993E+01   0.366257E+00  -0.295726E+00  -0.851538E-04
-0.682727E+01  0.211233E+01   0.667843E-02  -0.682727E+01   0.211233E+01   0.358816E+00  -0.288699E+00  -0.625720E-02
-0.645673E+01  0.215396E+01   0.164314E-02  -0.645673E+01   0.215396E+01   0.353781E+00  -0.274653E+00   0.960438E-03
-0.606537E+01  0.219458E+01   0.273654E-03  -0.606537E+01   0.219458E+01   0.352411E+00  -0.259587E+00   0.161599E-02
-0.565202E+01  0.223390E+01  -0.136424E-02  -0.565202E+01   0.223390E+01   0.350773E+00  -0.245182E+00  -0.392378E-02
-0.521546E+01  0.227164E+01  -0.226043E-02  -0.521546E+01   0.227164E+01   0.349877E+00  -0.229960E+00   0.141408E-02
-0.475436E+01  0.230745E+01  -0.301538E-02  -0.475436E+01   0.230745E+01   0.349122E+00  -0.214511E+00  -0.764246E-04
-0.426737E+01  0.234100E+01  -0.467051E-02  -0.426737E+01   0.234100E+01   0.347467E+00  -0.197229E+00  -0.133766E-02
-0.375302E+01  0.237189E+01  -0.557706E-02  -0.375302E+01   0.237189E+01   0.346561E+00  -0.178386E+00   0.659087E-03
-0.320977E+01  0.239970E+01  -0.643433E-02  -0.320977E+01   0.239970E+01   0.345703E+00  -0.158539E+00   0.531562E-04
-0.263601E+01  0.242394E+01  -0.716165E-02  -0.263601E+01   0.242394E+01   0.344976E+00  -0.137711E+00   0.557831E-03
-0.203001E+01  0.244408E+01  -0.802999E-02  -0.203001E+01   0.244408E+01   0.344108E+00  -0.115861E+00   0.224646E-03
-0.138997E+01  0.245947E+01  -0.887027E-02  -0.138997E+01   0.245947E+01   0.343267E+00  -0.924292E-01   0.207777E-03
-0.713972E+00  0.246939E+01  -0.943835E-02  -0.713972E+00   0.246939E+01   0.342699E+00  -0.678114E-01   0.156118E-03
 0.000000E+00  0.247292E+01  -0.100777E-01   0.000000E+00   0.247292E+01   0.342060E+00  -0.421032E-01  -0.755958E-04
 0.713972E+00  0.246939E+01  -0.107850E-01   0.713972E+00   0.246939E+01   0.341353E+00  -0.163921E-01  -0.135476E-03
 0.138997E+01  0.245947E+01  -0.114094E-01   0.138997E+01   0.245947E+01   0.340728E+00   0.802241E-02  -0.141427E-03
 0.203001E+01  0.244408E+01  -0.119922E-01   0.203001E+01   0.244408E+01   0.340145E+00   0.313142E-01  -0.146992E-03
 0.263601E+01  0.242394E+01  -0.125994E-01   0.263601E+01   0.242394E+01   0.339538E+00   0.536849E-01  -0.156058E-03
 0.320977E+01  0.239970E+01  -0.132214E-01   0.320977E+01   0.239970E+01   0.338916E+00   0.752866E-01  -0.239298E-03
 0.375302E+01  0.237189E+01  -0.137654E-01   0.375302E+01   0.237189E+01   0.338372E+00   0.960698E-01  -0.123263E-03
 0.426737E+01  0.234100E+01  -0.143565E-01   0.426737E+01   0.234100E+01   0.337781E+00   0.116105E+00  -0.204019E-03
 0.475436E+01  0.230745E+01  -0.148784E-01   0.475436E+01   0.230745E+01   0.337259E+00   0.135477E+00  -0.248912E-03
 0.521546E+01  0.227164E+01  -0.150859E-01   0.521546E+01   0.227164E+01   0.337052E+00   0.153896E+00  -0.197121E-04
 0.565202E+01  0.223390E+01  -0.152131E-01   0.565202E+01   0.223390E+01   0.336925E+00   0.171229E+00   0.119388E-03
 0.606537E+01  0.219458E+01  -0.153644E-01   0.606537E+01   0.219458E+01   0.336773E+00   0.187632E+00  -0.685597E-04
 0.645673E+01  0.215396E+01  -0.154849E-01   0.645673E+01   0.215396E+01   0.336653E+00   0.203230E+00  -0.160947E-03
 0.682727E+01  0.211233E+01  -0.154025E-01   0.682727E+01   0.211233E+01   0.336735E+00   0.217933E+00  -0.106163E-04
 0.717810E+01  0.206993E+01  -0.150757E-01   0.717810E+01   0.206993E+01   0.337062E+00   0.231542E+00   0.794375E-04
 0.751028E+01  0.202700E+01  -0.145655E-01   0.751028E+01   0.202700E+01   0.337572E+00   0.243950E+00   0.214927E-03
 0.782478E+01  0.198376E+01  -0.138844E-01   0.782478E+01   0.198376E+01   0.338253E+00   0.255133E+00   0.460093E-04
 0.812256E+01  0.194039E+01  -0.131169E-01   0.812256E+01   0.194039E+01   0.339021E+00   0.265120E+00   0.121491E-03
 0.840450E+01  0.189708E+01  -0.120694E-01   0.840450E+01   0.189708E+01   0.340068E+00   0.273835E+00   0.152580E-03
 0.867144E+01  0.185398E+01  -0.107199E-01   0.867144E+01   0.185398E+01   0.341418E+00   0.281119E+00   0.257518E-03
 0.892419E+01  0.181124E+01  -0.907821E-02   0.892419E+01   0.181124E+01   0.343059E+00   0.286831E+00   0.251247E-03
 0.916349E+01  0.176898E+01  -0.711179E-02   0.916349E+01   0.176898E+01   0.345026E+00   0.290903E+00   0.360577E-03
 0.939006E+01  0.172732E+01  -0.487043E-02   0.939006E+01   0.172732E+01   0.347267E+00   0.293188E+00   0.354381E-03
 0.960458E+01  0.168635E+01  -0.224262E-02   0.960458E+01   0.168635E+01   0.349895E+00   0.293714E+00   0.267820E-03
 0.980769E+01  0.164616E+01   0.678235E-03   0.980769E+01   0.164616E+01   0.352816E+00   0.292337E+00   0.811249E-03
 0.100000E+02  0.161775E+01   0.379802E-02   0.100000E+02   0.161775E+01   0.355936E+00   0.287483E+00   0.299081E-03
 0.102564E+02  0.160682E+01   0.823005E-02   0.102564E+02   0.160682E+01   0.360368E+00   0.274676E+00   0.102692E-02
 0.105219E+02  0.160682E+01   0.127134E-01   0.105219E+02   0.160682E+01   0.364851E+00   0.256314E+00   0.827748E-03
 0.107969E+02  0.160682E+01   0.170881E-01   0.107969E+02   0.160682E+01   0.369226E+00   0.233661E+00   0.110930E-02
 0.110817E+02  0.160682E+01   0.207642E-01   0.110817E+02   0.160682E+01   0.372902E+00   0.207067E+00   0.103970E-02
 0.113766E+02  0.160682E+01   0.228870E-01   0.113766E+02   0.160682E+01   0.375025E+00   0.177847E+00   0.876551E-03
 0.116820E+02  0.160682E+01   0.225738E-01   0.116820E+02   0.160682E+01   0.374711E+00   0.148602E+00   0.417700E-03
 0.119982E+02  0.160682E+01   0.192752E-01   0.119982E+02   0.160682E+01   0.371413E+00   0.123093E+00   0.121126E-03
 0.123257E+02  0.160682E+01   0.134209E-01   0.123257E+02   0.160682E+01   0.365559E+00   0.105177E+00  -0.686151E-03
 0.126648E+02  0.160682E+01   0.695315E-02   0.126648E+02   0.160682E+01   0.359091E+00   0.965935E-01  -0.170872E-02
 0.130161E+02  0.160682E+01   0.287352E-02   0.130161E+02   0.160682E+01   0.355011E+00   0.946563E-01  -0.899692E-03
 0.133798E+02  0.160682E+01   0.242728E-02   0.133798E+02   0.160682E+01   0.354565E+00   0.933096E-01  -0.207880E-04
 0.137564E+02  0.160682E+01   0.352439E-02   0.137564E+02   0.160682E+01   0.355662E+00   0.887562E-01   0.207229E-04
 0.141465E+02  0.160682E+01   0.378751E-02   0.141465E+02   0.160682E+01   0.355925E+00   0.824563E-01   0.212767E-03
 0.145504E+02  0.160682E+01   0.318935E-02   0.145504E+02   0.160682E+01   0.355327E+00   0.770001E-01  -0.695736E-04
 0.149687E+02  0.160682E+01   0.267535E-02   0.149687E+02   0.160682E+01   0.354813E+00   0.725608E-01  -0.265242E-03
 0.154018E+02  0.160682E+01   0.239711E-02   0.154018E+02   0.160682E+01   0.354535E+00   0.684640E-01   0.101096E-03
 0.158504E+02  0.160682E+01   0.207458E-02   0.158504E+02   0.160682E+01   0.354212E+00   0.646791E-01  -0.699582E-04
 0.163150E+02  0.160682E+01   0.184484E-02   0.163150E+02   0.160682E+01   0.353983E+00   0.612405E-01  -0.109716E-03
 0.167960E+02  0.160682E+01   0.166737E-02   0.167960E+02   0.160682E+01   0.353805E+00   0.580612E-01   0.612108E-04
 0.172942E+02  0.160682E+01   0.142669E-02   0.172942E+02   0.160682E+01   0.353564E+00   0.551448E-01   0.273447E-04
 0.178101E+02  0.160682E+01   0.128860E-02   0.178101E+02   0.160682E+01   0.353426E+00   0.524174E-01   0.583061E-04
 0.183444E+02  0.160682E+01   0.115112E-02   0.183444E+02   0.160682E+01   0.353289E+00   0.498134E-01   0.118573E-05
 0.188976E+02  0.160682E+01   0.910227E-03   0.188976E+02   0.160682E+01   0.353048E+00   0.474925E-01   0.128428E-04
 0.194706E+02  0.160682E+01   0.726611E-03   0.194706E+02   0.160682E+01   0.352864E+00   0.454949E-01   0.323088E-04
 0.200639E+02  0.160682E+01   0.612035E-03   0.200639E+02   0.160682E+01   0.352750E+00   0.436128E-01   0.491160E-04
 0.206783E+02  0.160682E+01   0.487457E-03   0.206783E+02   0.160682E+01   0.352625E+00   0.417013E-01   0.397635E-04
 0.213146E+02  0.160682E+01   0.371237E-03   0.213146E+02   0.160682E+01   0.352509E+00   0.398750E-01   0.318294E-04
 0.219736E+02  0.160682E+01   0.287560E-03   0.219736E+02   0.160682E+01   0.352425E+00   0.382828E-01   0.325942E-04
 0.226559E+02  0.160682E+01   0.176677E-03   0.226559E+02   0.160682E+01   0.352314E+00   0.369128E-01   0.492431E-04
 0.233626E+02  0.160682E+01   0.116497E-05   0.233626E+02   0.160682E+01   0.352139E+00   0.356274E-01   0.650571E-04
 0.240944E+02  0.160682E+01  -0.220082E-03   0.240944E+02   0.160682E+01   0.351918E+00   0.342727E-01   0.772242E-04
 0.248522E+02  0.160682E+01  -0.446110E-03   0.248522E+02   0.160682E+01   0.351692E+00   0.327176E-01   0.879482E-04
 0.256370E+02  0.160682E+01  -0.683974E-03   0.256370E+02   0.160682E+01   0.351454E+00   0.309861E-01   0.735459E-04
 0.264497E+02  0.160682E+01  -0.891410E-03   0.264497E+02   0.160682E+01   0.351246E+00   0.291882E-01   0.734985E-04
 0.272913E+02  0.160682E+01  -0.102189E-02   0.272913E+02   0.160682E+01   0.351116E+00   0.272952E-01   0.611892E-04
 0.281628E+02  0.160682E+01  -0.114341E-02   0.281628E+02   0.160682E+01   0.350994E+00   0.254245E-01   0.529858E-04
 0.290654E+02  0.160682E+01  -0.111584E-02   0.290654E+02   0.160682E+01   0.351022E+00   0.236033E-01   0.922314E-04
-0.200000E+02  0.194914E+01   0.102717E-02  -0.200000E+02   0.194914E+01   0.372228E+00  -0.319806E-01  -0.234463E-03
-0.192860E+02  0.194914E+01   0.102717E-02  -0.192860E+02   0.194914E+01   0.372228E+00  -0.319806E-01   0.730406E-04
-0.186100E+02  0.194914E+01   0.167404E-02  -0.186100E+02   0.194914E+01   0.372875E+00  -0.326579E-01   0.152430E-03
