Body data file part 1
xf,yf,zf = collocation points
xs,ys,zs = source points
dphifdn = Body boundary condition
sigma = source strength (this is the solution I got)
Number of body nodes =   510
 xf            yf             zf             xs             ys             zs             dphifn         sigma
-0.916349E+01  0.161826E+00  -0.460415E+00  -0.913304E+01   0.000000E+00  -0.441743E+00  -0.522206E+00  -0.171119E-02
-0.916349E+01  0.141413E+00  -0.618332E+00  -0.913691E+01   0.000000E+00  -0.593281E+00  -0.455870E+00  -0.136003E-02
-0.916349E+01  0.115024E+00  -0.776249E+00  -0.914191E+01   0.000000E+00  -0.744865E+00  -0.370045E+00  -0.923155E-03
-0.916349E+01  0.826593E-01  -0.934166E+00  -0.914804E+01   0.000000E+00  -0.896533E+00  -0.264967E+00  -0.452519E-03
-0.916349E+01  0.443178E-01  -0.109208E+01  -0.915525E+01   0.000000E+00  -0.104834E+01  -0.141240E+00  -0.112344E-03
-0.916349E+01  0.000000E+00  -0.125000E+01  -0.916349E+01   0.000000E+00  -0.120037E+01   0.000000E+00   0.251079E-03
-0.892419E+01  0.236017E+00   0.136328E+00  -0.888939E+01   0.617127E-01   0.136328E+00  -0.580732E+00  -0.385537E-02
-0.892419E+01  0.235970E+00  -0.177086E-01  -0.888939E+01   0.616664E-01  -0.167761E-01  -0.580612E+00  -0.671335E-03
-0.892419E+01  0.231562E+00  -0.171745E+00  -0.889006E+01   0.573578E-01  -0.162707E+00  -0.569440E+00  -0.215870E-02
-0.892419E+01  0.219985E+00  -0.325781E+00  -0.889182E+01   0.460533E-01  -0.308663E+00  -0.540129E+00  -0.187546E-02
-0.892419E+01  0.201241E+00  -0.479818E+00  -0.889466E+01   0.277799E-01  -0.454674E+00  -0.492770E+00  -0.174280E-02
-0.892419E+01  0.175329E+00  -0.633854E+00  -0.889857E+01   0.257982E-02  -0.600775E+00  -0.427557E+00  -0.134752E-02
-0.892419E+01  0.142249E+00  -0.787891E+00  -0.890352E+01   0.000000E+00  -0.747012E+00  -0.344863E+00  -0.853486E-03
-0.892419E+01  0.102001E+00  -0.941927E+00  -0.890949E+01   0.000000E+00  -0.893447E+00  -0.245315E+00  -0.388176E-03
-0.892419E+01  0.545844E-01  -0.109596E+01  -0.891640E+01   0.000000E+00  -0.104015E+01  -0.129892E+00  -0.916110E-04
-0.892419E+01  0.000000E+00  -0.125000E+01  -0.892419E+01   0.000000E+00  -0.118721E+01   0.000000E+00   0.437264E-03
-0.867144E+01  0.285366E+00   0.102727E+00  -0.863719E+01   0.105938E+00   0.102727E+00  -0.556224E+00  -0.101267E-01
-0.867144E+01  0.284953E+00  -0.475756E-01  -0.863724E+01   0.105541E+00  -0.444578E-01  -0.555366E+00   0.785278E-03
-0.867144E+01  0.278215E+00  -0.197879E+00  -0.863810E+01   0.990819E-01  -0.184931E+00  -0.541393E+00  -0.244011E-02
-0.867144E+01  0.263225E+00  -0.348182E+00  -0.864001E+01   0.847193E-01  -0.325479E+00  -0.510431E+00  -0.167515E-02
-0.867144E+01  0.239984E+00  -0.498485E+00  -0.864294E+01   0.624705E-01  -0.466163E+00  -0.462775E+00  -0.166108E-02
-0.867144E+01  0.208491E+00  -0.648788E+00  -0.864688E+01   0.323596E-01  -0.607048E+00  -0.398914E+00  -0.124342E-02
-0.867144E+01  0.168746E+00  -0.799091E+00  -0.865176E+01   0.000000E+00  -0.748207E+00  -0.319569E+00  -0.777926E-03
-0.867144E+01  0.120749E+00  -0.949394E+00  -0.865754E+01   0.000000E+00  -0.889717E+00  -0.225727E+00  -0.200291E-03
-0.867144E+01  0.645004E-01  -0.109970E+01  -0.866413E+01   0.000000E+00  -0.103166E+01  -0.118673E+00  -0.133586E-03
-0.867144E+01  0.000000E+00  -0.125000E+01  -0.867144E+01   0.000000E+00  -0.117413E+01   0.000000E+00   0.672023E-03
-0.840450E+01  0.335127E+00   0.584174E-01  -0.837089E+01   0.150431E+00   0.584174E-01  -0.531027E+00  -0.662457E-02
-0.840450E+01  0.333505E+00  -0.869623E-01  -0.837107E+01   0.148904E+00  -0.800760E-01  -0.528183E+00  -0.109838E-02
-0.840450E+01  0.323549E+00  -0.232342E+00  -0.837217E+01   0.139536E+00  -0.214002E+00  -0.510784E+00  -0.214534E-02
-0.840450E+01  0.304526E+00  -0.377722E+00  -0.837426E+01   0.121634E+00  -0.348088E+00  -0.477825E+00  -0.165469E-02
-0.840450E+01  0.276438E+00  -0.523101E+00  -0.837730E+01   0.951966E-01  -0.482433E+00  -0.429835E+00  -0.154085E-02
-0.840450E+01  0.239283E+00  -0.668481E+00  -0.838124E+01   0.602170E-01  -0.617133E+00  -0.367596E+00  -0.965202E-03
-0.840450E+01  0.193061E+00  -0.813861E+00  -0.838601E+01   0.166842E-01  -0.752285E+00  -0.292136E+00  -0.861843E-03
-0.840450E+01  0.137774E+00  -0.959241E+00  -0.839154E+01   0.000000E+00  -0.887975E+00  -0.204712E+00   0.300447E-03
-0.840450E+01  0.734200E-01  -0.110462E+01  -0.839774E+01   0.000000E+00  -0.102429E+01  -0.106790E+00  -0.440576E-03
-0.840450E+01  0.000000E+00  -0.125000E+01  -0.840450E+01   0.000000E+00  -0.116129E+01   0.000000E+00   0.965493E-03
-0.812256E+01  0.385135E+00   0.418553E-02  -0.808970E+01   0.195023E+00   0.418553E-02  -0.505169E+00  -0.365350E-02
-0.812256E+01  0.380632E+00  -0.135168E+00  -0.809015E+01   0.190865E+00  -0.122523E+00  -0.498357E+00  -0.259402E-02
-0.812256E+01  0.366559E+00  -0.274522E+00  -0.809152E+01   0.177863E+00  -0.248986E+00  -0.477226E+00  -0.193910E-02
-0.812256E+01  0.342914E+00  -0.413876E+00  -0.809380E+01   0.155991E+00  -0.375738E+00  -0.442244E+00  -0.165027E-02
-0.812256E+01  0.309695E+00  -0.553230E+00  -0.809692E+01   0.125213E+00  -0.502917E+00  -0.394186E+00  -0.148324E-02
-0.812256E+01  0.266902E+00  -0.692584E+00  -0.810083E+01   0.854823E-01  -0.630643E+00  -0.334081E+00  -0.397888E-03
-0.812256E+01  0.214537E+00  -0.831938E+00  -0.810544E+01   0.367392E-01  -0.759019E+00  -0.263173E+00  -0.158211E-02
-0.812256E+01  0.152598E+00  -0.971292E+00  -0.811067E+01   0.000000E+00  -0.888130E+00  -0.182858E+00   0.169187E-02
-0.812256E+01  0.810856E-01  -0.111065E+01  -0.811641E+01   0.000000E+00  -0.101804E+01  -0.946244E-01  -0.141440E-02
-0.812256E+01  0.000000E+00  -0.125000E+01  -0.812256E+01   0.000000E+00  -0.114879E+01   0.000000E+00   0.135478E-02
-0.782478E+01  0.434990E+00  -0.278720E-01  -0.779281E+01   0.239334E+00  -0.248342E-01  -0.478401E+00  -0.100509E-01
-0.782478E+01  0.427746E+00  -0.163664E+00  -0.779345E+01   0.232771E+00  -0.145888E+00  -0.468796E+00   0.186897E-03
-0.782478E+01  0.410229E+00  -0.299456E+00  -0.779498E+01   0.216878E+00  -0.267202E+00  -0.445854E+00  -0.303844E-02
-0.782478E+01  0.382441E+00  -0.435248E+00  -0.779736E+01   0.191601E+00  -0.388977E+00  -0.410256E+00  -0.132615E-02
-0.782478E+01  0.344381E+00  -0.571040E+00  -0.780052E+01   0.156855E+00  -0.511387E+00  -0.363011E+00  -0.168923E-02
-0.782478E+01  0.296049E+00  -0.706832E+00  -0.780437E+01   0.112540E+00  -0.634575E+00  -0.305379E+00   0.288089E-03
-0.782478E+01  0.237444E+00  -0.842624E+00  -0.780882E+01   0.585411E-01  -0.758648E+00  -0.238781E+00  -0.311371E-02
-0.782478E+01  0.168568E+00  -0.978416E+00  -0.781377E+01   0.000000E+00  -0.883673E+00  -0.164707E+00   0.428258E-02
-0.782478E+01  0.894202E-01  -0.111421E+01  -0.781913E+01   0.000000E+00  -0.100969E+01  -0.846414E-01  -0.314584E-02
-0.782478E+01  0.000000E+00  -0.125000E+01  -0.782478E+01   0.000000E+00  -0.113670E+01   0.000000E+00   0.183739E-02
-0.751028E+01  0.485034E+00  -0.182266E-01  -0.747926E+01   0.283652E+00  -0.159473E-01  -0.451506E+00  -0.146252E-01
-0.751028E+01  0.477669E+00  -0.155090E+00  -0.747986E+01   0.277111E+00  -0.135775E+00  -0.442831E+00   0.242986E-02
-0.751028E+01  0.458672E+00  -0.291954E+00  -0.748137E+01   0.260199E+00  -0.255972E+00  -0.420799E+00  -0.416120E-02
-0.751028E+01  0.428043E+00  -0.428818E+00  -0.748374E+01   0.232813E+00  -0.376831E+00  -0.386284E+00  -0.122515E-02
-0.751028E+01  0.385782E+00  -0.565681E+00  -0.748688E+01   0.194801E+00  -0.498595E+00  -0.340569E+00  -0.192126E-02
-0.751028E+01  0.331890E+00  -0.702545E+00  -0.749069E+01   0.145986E+00  -0.621442E+00  -0.285203E+00   0.303549E-03
-0.751028E+01  0.266365E+00  -0.839409E+00  -0.749504E+01   0.861768E-01  -0.745485E+00  -0.221859E+00  -0.374051E-02
-0.751028E+01  0.189209E+00  -0.976273E+00  -0.749982E+01   0.151894E-01  -0.870775E+00  -0.152198E+00   0.623844E-02
-0.751028E+01  0.100420E+00  -0.111314E+01  -0.750494E+01   0.000000E+00  -0.997311E+00  -0.777812E-01  -0.457667E-02
-0.751028E+01  0.000000E+00  -0.125000E+01  -0.751028E+01   0.000000E+00  -0.112505E+01   0.000000E+00   0.226179E-02
-0.717810E+01  0.534702E+00  -0.397308E-05  -0.714817E+01   0.327438E+00  -0.340948E-05  -0.424034E+00  -0.872249E-03
-0.717810E+01  0.528100E+00  -0.138892E+00  -0.714866E+01   0.321697E+00  -0.119272E+00  -0.417061E+00  -0.462441E-02
-0.717810E+01  0.508296E+00  -0.277781E+00  -0.715011E+01   0.304413E+00  -0.239019E+00  -0.396519E+00  -0.207359E-02
-0.717810E+01  0.475289E+00  -0.416669E+00  -0.715244E+01   0.275422E+00  -0.359672E+00  -0.363469E+00  -0.218862E-02
-0.717810E+01  0.429081E+00  -0.555558E+00  -0.715555E+01   0.234478E+00  -0.481563E+00  -0.319488E+00  -0.180943E-02
-0.717810E+01  0.369669E+00  -0.694446E+00  -0.715929E+01   0.181296E+00  -0.604914E+00  -0.266440E+00  -0.317023E-04
-0.717810E+01  0.297056E+00  -0.833335E+00  -0.716354E+01   0.115589E+00  -0.729835E+00  -0.206254E+00  -0.354846E-02
-0.717810E+01  0.211240E+00  -0.972223E+00  -0.716817E+01   0.370915E-01  -0.856344E+00  -0.140754E+00   0.692759E-02
-0.717810E+01  0.112221E+00  -0.111111E+01  -0.717305E+01   0.000000E+00  -0.984386E+00  -0.715525E-01  -0.542618E-02
-0.717810E+01  0.000000E+00  -0.125000E+01  -0.717810E+01   0.000000E+00  -0.111386E+01   0.000000E+00   0.259856E-02
